@relation EvolutionChain

shrinking,shrinking,continuing,growing,merging,merging,splitting
shrinking,continuing,growing,merging,merging,splitting,shrinking
continuing,growing,merging,merging,splitting,shrinking,continuing
growing,merging,merging,splitting,shrinking,continuing,growing
merging,merging,splitting,shrinking,continuing,growing,splitting
merging,splitting,shrinking,continuing,growing,splitting,dissolving
shrinking,shrinking,continuing,growing,merging,merging,splitting
shrinking,continuing,growing,merging,merging,splitting,shrinking
continuing,growing,merging,merging,splitting,shrinking,continuing
growing,merging,merging,splitting,shrinking,continuing,continuing
merging,merging,splitting,shrinking,continuing,continuing,growing
merging,splitting,shrinking,continuing,continuing,growing,dissolving
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,shrinking
shrinking,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,shrinking
shrinking,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
continuing,growing,growing,growing,shrinking,merging,splitting
growing,growing,growing,shrinking,merging,splitting,merging
growing,growing,shrinking,merging,splitting,merging,splitting
growing,shrinking,merging,splitting,merging,splitting,shrinking
shrinking,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
shrinking,growing,merging,splitting,shrinking,continuing,growing
growing,merging,splitting,shrinking,continuing,growing,splitting
merging,splitting,shrinking,continuing,growing,splitting,dissolving
shrinking,growing,merging,splitting,shrinking,continuing,continuing
growing,merging,splitting,shrinking,continuing,continuing,growing
merging,splitting,shrinking,continuing,continuing,growing,dissolving
forming,shrinking,growing,shrinking,growing,growing,shrinking
shrinking,growing,shrinking,growing,growing,shrinking,merging
growing,shrinking,growing,growing,shrinking,merging,splitting
shrinking,growing,growing,shrinking,merging,splitting,growing
forming,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
forming,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
forming,merging,splitting,merging,splitting,shrinking,shrinking
merging,splitting,merging,splitting,shrinking,shrinking,dissolving
forming,growing,merging,splitting,shrinking,shrinking,dissolving
forming,growing,growing,splitting,shrinking,growing,growing
growing,growing,splitting,shrinking,growing,growing,growing
forming,growing,shrinking,shrinking,merging,merging,splitting
growing,shrinking,shrinking,merging,merging,splitting,shrinking
shrinking,shrinking,merging,merging,splitting,shrinking,continuing
shrinking,merging,merging,splitting,shrinking,continuing,growing
merging,merging,splitting,shrinking,continuing,growing,splitting
merging,splitting,shrinking,continuing,growing,splitting,dissolving
forming,growing,shrinking,shrinking,merging,merging,splitting
growing,shrinking,shrinking,merging,merging,splitting,shrinking
shrinking,shrinking,merging,merging,splitting,shrinking,continuing
shrinking,merging,merging,splitting,shrinking,continuing,continuing
merging,merging,splitting,shrinking,continuing,continuing,growing
merging,splitting,shrinking,continuing,continuing,growing,dissolving
merging,splitting,growing,merging,splitting,merging,merging
splitting,growing,merging,splitting,merging,merging,splitting
